"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"violent_100_before",0,10,15,15.7884325951408,20,66
"violent_100_after",0,8,13,14.1427649967749,18,71
"nonviolent_100_before",8,38,51,56.1287895076328,70,203
"nonviolent_100_after",5,36,48,52.899591485702,64.5,174
"violent_200_before",5,41.5,58,59.8271339496882,74,156
"violent_200_after",7,38,52,54.7978929262524,68,161
"nonviolent_200_before",53,162,213,224.474951623307,268,658
"nonviolent_200_after",43,159,201,213.310900881531,254,573
"violent_500_before",40,257,323,319.831219092668,388,557
"violent_500_after",33,229,292,298.77983229413,375,520
"nonviolent_500_before",432,1083.5,1363,1349.74973124059,1585,2825
"nonviolent_500_after",408,1027,1235,1266.84089443131,1517,2539
"diff_100_nv",-100,-11,-2,-3.22919802193077,7,58
"diff_200_nv",-164,-30,-7,-11.164050741776,12,188
"diff_500_nv",-703,-176,-64,-82.9088368092883,7,566
"diff_100_v",-37,-5,-1,-1.64566759836594,2,23
"diff_200_v",-66,-13,-4,-5.02924102343582,4,51
"diff_500_v",-146,-43,-21,-21.0513867985379,-2,103
"diff_100_t",-134,-13,-3,-4.87486562029671,6,62
"diff_200_t",-191,-35,-12,-16.1932917652118,11,159
"diff_500_t",-732,-211,-76,-103.960223607826,-4,485
