"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2007.95471899571,1132.8875107165,-1.77242197482235,0.0763245366980273
"Civic",0.629846315833684,0.364132774508474,1.72971608140433,0.0836810140724367
"Commercial",1985.4140517725,1116.17489971455,1.77876608072824,0.0752781203133115
"Cultural",1988.92593215279,1116.15385025826,1.78194603879437,0.0747580318074399
"Industrial",1983.25596345578,1116.16063319074,1.77685532393872,0.0755920465981916
"Transportation",1984.24369958244,1116.14342228959,1.77776767748367,0.0754420191581694
"Vacant",1993.14878731537,1116.14852985045,1.78573794975336,0.0741416976953717
"Water",1968.90834732263,1116.13962515514,1.76403408941686,0.0777262400065265
"Residential",1985.72148276819,1116.14471797953,1.77908962053128,0.0752250701123577
"block_total_count",0.000236971833166095,4.66599284883136e-05,5.07870116486456,3.80023909458828e-07
"white_percent",9.55311750349866,2.31554542325856,4.12564461380982,3.69697786567798e-05
"black_percent",12.4101974597636,2.2488890033399,5.51836815482348,3.42162035150998e-08
"asian_percent",12.1908603517635,2.38917437325185,5.10254106533498,3.3512299718908e-07
"hispanic_percent",10.256164968186,2.21261218235248,4.63531975914617,3.56386141554528e-06
"block_per_capita_income",-1.4662960081282,0.103165642147182,-14.2130265232711,7.60656822798143e-46
"income_to_poverty_under_.50",-1.65123501969108,0.270758784876781,-6.09854642552981,1.07037312225487e-09
"income_to_poverty_.50_to_.99",0.0765663390761191,0.250714463235162,0.305392589195392,0.760067165343875
"income_to_poverty_1.00_to_1.24",-2.24358588729369,0.336208548683503,-6.67319702630683,2.50290000851761e-11
"income_to_poverty_1.25_to_1.49",-0.699003680013408,0.330699878611699,-2.11371011972509,0.0345400336487506
"income_to_poverty_1.50_to_1.84",1.46340964544119,0.317369196120913,4.61106390704553,4.00613344509807e-06
"income_to_poverty_1.85_to_1.99",0.577000445653026,0.3580950328556,1.61130535950689,0.107113183197727
"cafe",0.276118562724028,0.0931219111390305,2.96512989635474,0.00302555149485035
"convenience",-0.0576068717571069,0.0480749505635076,-1.19827209558973,0.230811106198478
"gym",-0.511807751811814,0.043691911933982,-11.7140159163817,1.08038406042325e-31
"institution",12.0249198640372,131.092449034704,0.0917285469344911,0.926913715828799
"liquor",-0.293541954442603,0.0465076473863843,-6.31169218266115,2.7600077852295e-10
"lodging",-0.0187291992615918,0.0431653734227663,-0.433894063145384,0.664365371123552
"nightlife",0.412465149020157,0.102680701222856,4.01696856476418,5.8951584315382e-05
"pharmacy",0.409875534879286,0.0423665203426282,9.67451496050477,3.86921995439834e-22
"restaurant",1.0309466650482,0.165793385487907,6.2182617359207,5.02692540424732e-10
"retail",9.71066226895353,143.069004048246,0.0678739768516099,0.945885954432429
"business_count",-0.00277117520120196,0.000522107791270329,-5.30766873725342,1.1103620051068e-07
