"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"violent_100_before",2,21,31,33.3859385078478,43,123
"violent_100_after",0,20,29,31.4313050956783,40,125
"violent_200_before",19,94,125,129.362932702645,162,312
"violent_200_after",16,90,118,122.528058482047,150,302
"violent_500_before",94,569,718,702.549559234573,852,1181
"violent_500_after",126,535,684,671.432810148355,803,1160
"nonviolent_100_before",6,25,34,37.8742205977209,46,157
"nonviolent_100_after",3,23,31,35.0591270694474,42,142
"nonviolent_200_before",40,109,141,152.76349172221,178,565
"nonviolent_200_after",34,105,131,143.625886906042,166,497
"nonviolent_500_before",334,756,937,955.519458181036,1089,2308
"nonviolent_500_after",298,709.5,845,884.088153085358,1015,2091
"diff_100_violent",-82,-7,-1,-1.95463341216943,5,50
"diff_100_nonviolent",-101,-9,-2,-2.81509352827349,5,63
"diff_100_total",-128,-13,-3,-4.76972694044292,6,63
"total_100_before",11,48,65,71.2601591055687,88,264
"diff_200_violent",-95,-19,-4,-6.83487422059772,9,59
"diff_200_nonviolent",-139,-25,-7,-9.13760481616857,9,184
"diff_200_total",-188,-35,-12,-15.9724790367663,11,159
"total_200_before",59,205,269,282.126424424855,338,751
"diff_500_violent",-255,-82,-30,-31.116749086218,13,220
"diff_500_nonviolent",-540,-147,-52,-71.4313050956784,-1,534
"diff_500_total",-728,-209,-73,-102.548054181896,-3,483
"total_500_before",510,1329,1660,1658.06901741561,1968,3290
