"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"violent_100_before",0,18,29,30.8980296446217,42,116
"violent_100_after",0,15,26,27.8802904934818,38,123
"violent_200_before",0,79,118,118.509851776891,155,319
"violent_200_after",0,70,106,106.591047086136,139,281
"violent_500_before",4,490,683,651.225191975713,819,1122
"violent_500_after",0,440,622,584.770164890767,737,1076
"nonviolent_100_before",0,28,40,44.8888624322876,56,259
"nonviolent_100_after",0,23,34,36.8814810405381,46,245
"nonviolent_200_before",0,121,162,177.597118876124,221,908
"nonviolent_200_after",1,101,138,145.547889755343,178,655
"nonviolent_500_before",2,760,977,1064.94416334306,1269,3518
"nonviolent_500_after",6,659.5,844,886.43020417882,1019,2801
"diff_100_violent",-57,-8,-2,-3.01773915113995,3,49
"diff_100_nonviolent",-84,-15,-6,-8.00738139174951,0,83
"diff_100_total",-117,-20,-9,-11.0251205428895,0,74
"total_100_before",0,50,73,75.7868920769093,95,283
"diff_200_violent",-132,-24,-10,-11.9188046907554,1,56
"diff_200_nonviolent",-311,-54,-26,-32.049229120781,-6,106
"diff_200_total",-360,-70,-37,-43.9680338115364,-13,85
"total_200_before",1,216,288,296.106970653015,365,1114
"diff_500_violent",-255,-99,-62,-66.4550270849455,-27,88
"diff_500_nonviolent",-849,-269,-136,-178.513959164236,-57,134
"diff_500_total",-1015,-361,-198,-244.968986249182,-98,99
"total_500_before",6,1311,1666,1716.16935531877,2110,4521
