"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"violent_100_before",0,8,13,14.5570984899868,20,82
"violent_100_after",0,8,13,14.3007532217185,19,82
"nonviolent_100_before",0,40,58,62.3965301824153,79,537
"nonviolent_100_after",0,39,54,57.8940134937351,72,568
"violent_200_before",0,36,55,55.7761039517367,73,186
"violent_200_after",0,35,52,54.5063363438404,71,173
"nonviolent_200_before",0,177,235,244.794166993896,297,1085
"nonviolent_200_after",0,168,218,225.926605504587,272,1100
"violent_500_before",0,224,319,303.941669938957,387,533
"violent_500_after",0,218,295,293.595152250741,380,530
"nonviolent_500_before",0,1104,1362,1438.76982115446,1739,4154
"nonviolent_500_after",0,1024,1279,1321.29625531003,1587,3720
"year",2007,2008,2009,2010.58294363331,2013,2018
"diff_100_nv",-99,-13,-3,-4.50251668868026,6,88
"diff_200_nv",-235,-40,-14,-18.8675614893085,6,96
"diff_500_nv",-650,-171,-105,-117.473565844429,-47,180
"diff_100_v",-29,-4,0,-0.256345268268304,3,27
"diff_200_v",-52,-9,-1,-1.26976760789633,6,64
"diff_500_v",-105,-30,-11,-10.3465176882162,7,97
"diff_100_t",-110,-15,-4,-4.75886195694856,7,85
"diff_200_t",-226,-43,-17,-20.1373290972049,7,132
