,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Civic,0.0000,0.0151,0.0371,0.0518,0.0699,0.4995
Commercial,0.0000,0.0150,0.0345,0.0529,0.0736,0.9032
Cultural,0.0000,0.0003,0.0079,0.0321,0.0373,0.9099
Industrial,0.0000,0.0035,0.0259,0.0580,0.0838,0.8355
Other,0.0000,0.0000,0.0000,0.0000,0.0000,0.0291
Transportation,0.0007,0.3346,0.3646,0.3652,0.3932,0.7607
Vacant,0.0000,0.0399,0.0792,0.0924,0.1296,0.9902
Water,0.0000,0.0000,0.0000,0.0007,0.0000,0.5551
Residential,-0.0062,0.3159,0.4108,0.3986,0.4937,0.8577
block_total_count,175,801,1021,1130,1340,2937
white_percent,0.0000,0.0174,0.0524,0.1637,0.1964,0.9871
black_percent,0.0000,0.2371,0.7636,0.6021,0.9190,0.9799
asian_percent,0.0000,0.0044,0.0108,0.0313,0.0332,0.6316
hispanic_percent,0.0015,0.0254,0.0501,0.1819,0.2780,0.9377
block_per_capita_income,4288,11201,14687,16893,19264,96995
income_to_poverty_under_.50,0.0000,0.0808,0.1570,0.1817,0.2615,0.6813
income_to_poverty_.50_to_.99,0.0000,0.1226,0.1937,0.2094,0.2872,0.7143
income_to_poverty_1.00_to_1.24,0.0000,0.0220,0.0554,0.0768,0.1170,0.4853
income_to_poverty_1.25_to_1.49,0.0000,0.0134,0.0416,0.0641,0.0942,0.5403
income_to_poverty_1.50_to_1.84,0.0000,0.0181,0.0606,0.0729,0.1116,0.4965
income_to_poverty_1.85_to_1.99,0.0000,0.0000,0.0098,0.0273,0.0352,0.4686
income_to_poverty_over_2.00,0.0000,0.2262,0.3429,0.3677,0.4761,0.9579
cafe,0.0000,1.0000,1.0000,0.9546,1.0000,1.0000
convenience,0.0000,1.0000,1.0000,0.8083,1.0000,1.0000
gym,0.0000,0.0000,1.0000,0.5376,1.0000,1.0000
institution,0.0000,1.0000,1.0000,0.9995,1.0000,1.0000
liquor,0.0000,0.0000,0.0000,0.3533,1.0000,1.0000
lodging,0.0000,0.0000,0.0000,0.3722,1.0000,1.0000
nightlife,0.0000,1.0000,1.0000,0.9601,1.0000,1.0000
pharmacy,0.0000,0.0000,1.0000,0.5521,1.0000,1.0000
restaurant,0.0000,1.0000,1.0000,0.9763,1.0000,1.0000
retail,0.0000,1.0000,1.0000,0.9996,1.0000,1.0000
business_count,0,68,99,119,160,1157
