,vacant_id,greened_id,match_greened_date,violent_100_before,violent_100_after,violent_200_before,violent_200_after,violent_500_before,violent_500_after,nonviolent_100_before,nonviolent_100_after,nonviolent_200_before,nonviolent_200_after,nonviolent_500_before,nonviolent_500_after
0,399332,5070,2011-03-01,11,14,85,76,762,700,29,20,98,89,909,882
1,342004,6256,2016-03-01,28,38,90,108,547,663,29,46,95,115,606,633
2,169784,5213,2013-03-01,25,28,162,156,957,881,40,29,201,157,1099,1035
3,442899,5177,2008-09-01,46,41,134,138,651,688,55,36,167,107,998,812
4,246855,2686,2016-09-01,58,48,116,119,492,453,42,50,114,121,633,567
5,920553,398,2013-03-01,42,32,121,120,671,632,51,49,205,202,1378,1089
6,267756,196,2017-03-01,61,75,134,144,792,807,47,45,123,123,940,960
7,1118229,1092,2014-03-01,23,41,120,173,739,847,70,62,274,301,1741,1703
8,467053,2616,2007-09-01,14,22,91,91,743,700,21,25,132,121,1045,1017
9,1211094,3969,2007-09-01,38,51,155,164,940,907,23,46,129,171,1120,1094
10,467517,171,2017-03-01,29,25,149,124,832,746,114,50,225,154,1008,830
11,1016884,4404,2008-09-01,24,33,74,77,478,450,40,25,99,82,577,552
12,1335920,3320,2013-09-01,26,48,127,141,652,601,45,45,173,169,688,669
13,893995,2104,2008-09-01,60,28,183,130,873,695,53,82,175,280,1164,1333
14,71590,3752,2008-03-01,29,41,123,121,858,769,35,37,143,143,1067,998
15,977624,3662,2010-03-01,27,33,101,126,682,730,42,50,184,135,872,829
16,603631,2002,2008-09-01,21,11,89,53,835,727,35,31,105,87,1009,914
17,1167208,2274,2012-09-01,42,35,131,110,976,970,38,40,144,141,1053,922
18,400274,5332,2012-09-01,10,18,72,65,323,309,15,11,93,78,578,572
19,752824,970,2012-09-01,10,18,71,66,317,301,14,10,87,77,568,561
20,930271,3830,2014-03-01,23,23,116,103,443,432,34,26,121,108,847,736
21,8315,5374,2007-09-01,24,22,65,85,425,372,29,33,112,114,921,878
