"","1","match_greened_date","greened_id","vacant_id"
"1","13643","2007-09-01",4693,1329007
"2","10054","2011-03-01",5089,1179154
"3","20323","2014-09-01",1736,1401563
"4","13251","2011-03-01",5445,1085681
"5","13197","2016-03-01",6439,497728
"6","15213","2017-03-01",52,1400638
"7","18919","2017-03-01",131,155999
"8","12535","2008-03-01",269,496965
"9","16236","2008-03-01",281,1389972
"10","7831","2008-03-01",323,783193
"11","10468","2008-03-01",439,492077
"12","13228","2013-03-01",444,706035
"13","18863","2015-09-01",507,217937
"14","19176","2013-03-01",532,638498
"15","9386","2007-09-01",712,1014553
"16","13418","2016-03-01",882,1074207
"17","16613","2016-03-01",1034,1350570
"18","9720","2016-03-01",1056,1139718
"19","19986","2011-03-01",1251,1328855
"20","11307","2011-03-01",1363,749354
"21","16431","2014-09-01",1471,1282258
"22","6568","2014-09-01",1625,1310687
"23","20659","2014-03-01",1700,433011
"24","13667","2014-09-01",1788,261384
"25","13137","2010-03-01",1874,332175
"28","17366","2011-03-01",2023,1003764
"29","12810","2009-03-01",2116,1231098
"30","15680","2013-03-01",2143,443529
"31","12544","2011-03-01",2177,309357
"33","17264","2008-09-01",2328,562495
"34","15484","2010-03-01",2442,341228
"35","19991","2013-03-01",2633,207720
"36","7939","2011-03-01",2770,128743
"37","14498","2016-09-01",2802,176339
"38","10524","2011-03-01",3023,1279290
"39","9860","2008-09-01",3030,917751
"40","8449","2014-03-01",3112,905982
"41","11723","2013-09-01",3318,1402995
"42","7084","2016-03-01",3338,346218
"43","14402","2015-09-01",3564,115374
"45","8730","2014-03-01",3870,253998
"46","16637","2014-09-01",4092,1134519
"47","5274","2012-09-01",4199,177362
"48","5570","2010-03-01",4384,207318
"49","21061","2010-03-01",4398,1269887
"50","11397","2009-03-01",4480,702642
"51","17128","2016-03-01",4838,662339
"52","19590","2007-09-01",4853,235771
"53","20250","2008-09-01",4867,606883
"54","19849","2015-03-01",4928,180552
"55","8329","2011-03-01",5039,1108563
"56","17551","2008-03-01",5054,1359852
"57","15470","2008-03-01",5111,1296201
"58","8371","2008-03-01",5113,1350435
"59","18592","2008-03-01",5114,1058888
"60","15292","2008-03-01",5118,1032702
"61","9160","2007-09-01",5242,1246494
"62","12928","2007-09-01",5279,488674
"63","11448","2013-09-01",5306,260544
"64","12231","2012-09-01",5521,1169846
"66","10459","2007-09-01",5834,456832
"67","5957","2013-03-01",5900,896455
"68","16072","2010-03-01",5906,517226
"70","13504","2016-09-01",6180,456836
"71","16498","2016-03-01",6256,342004
"72","13435","2016-03-01",6260,1053873
"73","9719","2016-03-01",6316,961559
"74","10277","2014-09-01",6331,35031
"75","8942","2016-03-01",6448,442965
"76","5713","2016-03-01",6452,1223156
"77","9776","2016-03-01",6487,1254632
"78","10201","2012-09-01",6592,1216514
"79","9766","2016-03-01",6748,607797
"80","9385","2016-03-01",6796,661085
"81","15827","2017-03-01",13,62530
"82","20428","2017-03-01",21,159809
"83","14352","2017-03-01",25,558255
"84","17839","2017-03-01",40,218787
"85","15453","2017-03-01",47,1311265
"86","10935","2017-03-01",53,1033413
"87","21419","2017-03-01",58,967788
"88","15333","2017-03-01",69,1355334
"89","7960","2017-03-01",76,690203
"90","16131","2017-03-01",126,608454
"91","9887","2017-03-01",130,344157
"92","13096","2017-03-01",141,1406574
"93","12492","2017-03-01",148,1231483
"94","10577","2017-03-01",150,1392565
"95","19211","2017-03-01",170,846940
"96","19407","2017-03-01",176,975258
"97","11646","2017-03-01",177,609776
"98","16070","2017-03-01",193,63732
"99","16084","2017-03-01",203,1047434
"100","8975","2017-03-01",212,1403853
"101","12388","2008-03-01",249,673891
"102","14403","2008-03-01",278,1339309
"103","16245","2008-03-01",280,1302000
"104","5680","2008-03-01",284,520296
"105","14397","2008-03-01",294,899459
"106","15478","2008-03-01",295,63920
"107","15679","2013-03-01",301,1311778
