Characteristic,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Civic,0.0000,0.0170,0.0386,0.0539,0.0697,0.5132
Commercial,0.0008,0.0126,0.0256,0.0409,0.0531,0.5318
Cultural,0.0000,0.0016,0.0115,0.0382,0.0428,0.5326
Industrial,0.0000,0.0004,0.0109,0.0352,0.0505,0.3507
Other,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003
Transportation,0.2010,0.3303,0.3527,0.3539,0.3766,0.6983
Vacant,0.0000,0.0925,0.1445,0.1408,0.1840,0.3200
Water,0.0000,0.0000,0.0000,0.0001,0.0000,0.1301
Residential,0.0006,0.3241,0.3978,0.3908,0.4601,0.7017
block_total_count,451,696,1041,1091,1320,2813
white_percent,0.0000,0.0095,0.0157,0.0470,0.0413,0.8278
black_percent,0.0496,0.8166,0.9167,0.8124,0.9426,0.9799
asian_percent,0.0000,0.0010,0.0075,0.0144,0.0122,0.2825
hispanic_percent,0.0015,0.0202,0.0293,0.1075,0.0579,0.9215
block_per_capita_income,5098,10188,12332,12624,14884,76032
income_to_poverty_under_.50,0.0000,0.0904,0.1750,0.2020,0.2814,0.6007
income_to_poverty_.50_to_.99,0.0000,0.1739,0.2226,0.2425,0.3213,0.6651
income_to_poverty_1.00_to_1.24,0.0000,0.0271,0.0698,0.0750,0.1150,0.4403
income_to_poverty_1.25_to_1.49,0.0000,0.0189,0.0357,0.0613,0.0936,0.3191
income_to_poverty_1.50_to_1.84,0.0000,0.0341,0.0752,0.0810,0.1214,0.4965
income_to_poverty_1.85_to_1.99,0.0000,0.0000,0.0139,0.0351,0.0414,0.4686
income_to_poverty_over_2.00,0.0295,0.2197,0.3091,0.3031,0.3909,0.9505
cafe,0.0000,1.0000,1.0000,0.9536,1.0000,1.0000
convenience,0.0000,0.0000,1.0000,0.7394,1.0000,1.0000
gym,0.0000,0.0000,0.0000,0.2916,1.0000,1.0000
institution,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
liquor,0.0000,0.0000,0.0000,0.2096,0.0000,1.0000
lodging,0.0000,0.0000,0.0000,0.3346,1.0000,1.0000
nightlife,0.0000,1.0000,1.0000,0.9624,1.0000,1.0000
pharmacy,0.0000,0.0000,1.0000,0.5691,1.0000,1.0000
restaurant,0.0000,1.0000,1.0000,0.9884,1.0000,1.0000
retail,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
business_count,11,66,80,89,101,843
